N,MAE,Treatment,Pearson,Spearman
10,2.533726759140308,None,0.048831317444749514,0.01813495498282525
20,1.7871945839661818,None,0.1691286233213301,0.15986454158505312
30,1.7590137234100929,None,0.24140964422451033,0.22635193195927822
40,1.8012510574780978,None,0.27854278830502666,0.2506286512527893
50,1.8871126734293424,None,0.29462652476589646,0.2701482949165692
60,1.912325250185453,None,0.3097641159196693,0.31497200754037497
70,1.9602509902073786,None,0.3067271147518945,0.309187582244129
80,1.9914811629515428,None,0.3333831129668273,0.35329661683905494
90,2.028947956745441,None,0.3456767552872852,0.37087322961181785
100,2.110218040759747,None,0.329923020594454,0.37451362082142436
110,2.1528752932181727,None,0.3044063115275071,0.3674561752862362
120,2.1380724283365105,None,0.29164158239906474,0.35908104213530095
130,2.065893871967609,None,0.2944950577751269,0.39148722400731994
140,1.9864401982380793,None,0.30387389386190894,0.4003983656799151
150,1.9166830704762385,None,0.29641230975398153,0.39910301175257046
160,1.896615373171293,None,0.28054387323010677,0.38152639897980756
170,1.9508366786516629,None,0.2595400122728065,0.3475345252312115
180,1.9980782068692722,None,0.24738549977711707,0.32761287517618665
190,2.0547316294450026,None,0.22880391470514508,0.30367116120871296
200,2.062612377680265,None,0.2130055964880656,0.29324132872474823
210,2.061447682747474,None,0.20436007446112156,0.27387802087978574
